Source, Packets txd, Bt, Mean delay, Server Utilization
0, 57817, 72287357, 0.0050, 0.0133
1, 57729, 49057922, 0.0049, 0.0133
2, 57549, 64756397, 0.0049, 0.0133
3, 57403, 80377392, 0.7181, 0.0133
