Source, Packets txd, Bt, Mean delay, Server Utilization
0, 32749, 40952216, 0.0046, 0.0076
1, 32853, 27918677, 0.0045, 0.0076
2, 32756, 36850057, 0.0046, 0.0076
3, 32655, 45724679, 1.2607, 0.0076
