Source, Packets txd, Bt, Mean delay, Server Utilization
0, 17644, 22076220, 0.0044, 0.0041
1, 17950, 15265727, 0.0044, 0.0041
2, 17915, 20168969, 0.0045, 0.0041
3, 17743, 24828769, 0.2981, 0.0041
