Source, Packets txd, Bt, Mean delay, Server Utilization
0, 16658, 20849780, 0.0302, 0.3820
1, 16994, 14458619, 0.0277, 0.3820
2, 16908, 19008411, 1.7516, 0.3820
3, 15777, 22092017, 115.4152, 0.3820
