Source, Packets txd, Bt, Mean delay, Server Utilization
0, 46360, 57970451, 0.0044, 0.0107
1, 46496, 39513976, 0.0044, 0.0107
2, 46171, 51979185, 0.0044, 0.0107
3, 46111, 64543974, 0.3638, 0.0107
