Source, Packets txd, Bt, Mean delay, Server Utilization
0, 4321, 5410721, 21.6261, 0.9299
1, 4366, 3706252, 24.6287, 0.9299
2, 4371, 4928231, 55.6647, 0.9299
3, 3266, 4553620, 479.0395, 0.9299
