Source, Packets txd, Bt, Mean delay, Server Utilization
0, 4052, 5070421, 610.4205, 0.4754
1, 2994, 2535549, 673.2819, 0.4754
2, 1129, 1267781, 777.5132, 0.4754
3, 455, 633511, 809.5850, 0.4754
