Source, Packets txd, Bt, Mean delay, Server Utilization
0, 17696, 22143682, 0.0054, 0.0412
1, 17942, 15231895, 0.0050, 0.0412
2, 17923, 20154144, 0.0054, 0.0412
3, 17706, 24788394, 0.0056, 0.0412
