Source, Packets txd, Bt, Mean delay, Server Utilization
0, 4238, 5296499, 21.9339, 0.9253
1, 4346, 3683929, 25.6316, 0.9253
2, 4361, 4872951, 58.0565, 0.9253
3, 3319, 4653288, 468.6010, 0.9253
