Source, Packets txd, Bt, Mean delay, Server Utilization
0, 17675, 22126556, 0.0045, 0.0041
1, 18008, 15306027, 0.0044, 0.0041
2, 17803, 20023628, 0.0044, 0.0041
3, 17724, 24823328, 0.0903, 0.0041
