Source, Packets txd, Bt, Mean delay, Server Utilization
0, 4123, 5158722, 19.1224, 0.9655
1, 4368, 3708327, 18.7034, 0.9655
2, 4265, 4790374, 19.0954, 0.9655
3, 4041, 5652202, 66.0627, 0.9655
