Source, Packets txd, Bt, Mean delay, Server Utilization
0, 5671, 7086680, 322.4648, 0.6959
1, 4604, 3903968, 635.8804, 0.6959
2, 1737, 1952259, 922.6265, 0.6959
3, 703, 975931, 986.8738, 0.6959
