Source, Packets Gen, Bg, Dropped
0, 18766, 23484564, 4706
2, 41725, 46927281, 9921
5, 53295, 53299762, 12241
4, 9851, 11350157, 2501
3, 61117, 85551581, 13916
6, 53464, 73483441, 12233
7, 28144, 26905192, 6841
1, 36832, 31309310, 8831
