Source, Packets txd, Bt, Mean delay, Server Utilization
0, 14060, 17601688, 0.0071, 0.0135
1, 28001, 23815440, 0.0069, 0.0135
2, 31804, 35732788, 0.0069, 0.0135
3, 46953, 65714911, 3.7420, 0.0135
4, 7350, 8463964, 0.0072, 0.0135
5, 41054, 41052341, 0.0069, 0.0135
6, 41231, 56669415, 0.0075, 0.0135
7, 21303, 20413090, 0.0070, 0.0135
