Source, Packets txd, Bt, Mean delay, Server Utilization
0, 6964, 8722915, 2.6600, 0.7357
1, 12540, 10626386, 2.5958, 0.7357
2, 15910, 17895259, 2.7285, 0.7357
3, 78454, 109898822, 4.8810, 0.7357
